bank_id,state,district,facility_tier,district_bank_count,state_bank_count,capacity_proxy,dengue_monsoon_multiplier,facility_demand_multiplier,discard_target,regional_calibration_source
31003,Andaman and Nicobar Islands,South Andaman,peripheral_center,2,2,1.779,1.06,0.68,0.24,India public literature pattern mapped by facility tier and dengue-prone state
280695,Andaman and Nicobar Islands,South Andaman,urban_referral,2,2,4.898,1.06,1.16,0.16,India public literature pattern mapped by facility tier and dengue-prone state
284580,Andhra Pradesh,Anakapalli,district_center,8,405,3.117,1.166,0.92,0.19,India public literature pattern mapped by facility tier and dengue-prone state
285314,Andhra Pradesh,Kurnool,urban_referral,22,405,4.295,1.166,1.16,0.16,India public literature pattern mapped by facility tier and dengue-prone state
285319,Andhra Pradesh,Bapatla,district_center,12,405,3.485,1.166,0.92,0.19,India public literature pattern mapped by facility tier and dengue-prone state
284218,Andhra Pradesh,Prakasam,urban_referral,18,405,4.104,1.166,1.16,0.16,India public literature pattern mapped by facility tier and dengue-prone state
284217,Andhra Pradesh,Palnadu,urban_referral,15,405,3.933,1.166,1.16,0.16,India public literature pattern mapped by facility tier and dengue-prone state
284337,Andhra Pradesh,West Godavari,urban_referral,17,405,4.05,1.166,1.16,0.16,India public literature pattern mapped by facility tier and dengue-prone state
284216,Andhra Pradesh,Palnadu,urban_referral,15,405,3.933,1.166,1.16,0.16,India public literature pattern mapped by facility tier and dengue-prone state
284336,Andhra Pradesh,NTR,urban_referral,26,405,4.456,1.166,1.16,0.16,India public literature pattern mapped by facility tier and dengue-prone state
284215,Andhra Pradesh,Palnadu,urban_referral,15,405,3.933,1.166,1.16,0.16,India public literature pattern mapped by facility tier and dengue-prone state
284578,Andhra Pradesh,Alluri Sitharama Raju,district_center,5,405,2.712,1.166,0.92,0.19,India public literature pattern mapped by facility tier and dengue-prone state
284457,Andhra Pradesh,Kurnool,urban_referral,22,405,4.295,1.166,1.16,0.16,India public literature pattern mapped by facility tier and dengue-prone state
284699,Andhra Pradesh,Prakasam,urban_referral,18,405,4.104,1.166,1.16,0.16,India public literature pattern mapped by facility tier and dengue-prone state
284577,Andhra Pradesh,Parvathipuram Manyam,district_center,6,405,2.866,1.166,0.92,0.19,India public literature pattern mapped by facility tier and dengue-prone state
284214,Andhra Pradesh,Kurnool,urban_referral,22,405,4.295,1.166,1.16,0.16,India public literature pattern mapped by facility tier and dengue-prone state
284698,Andhra Pradesh,Parvathipuram Manyam,district_center,6,405,2.866,1.166,0.92,0.19,India public literature pattern mapped by facility tier and dengue-prone state
284697,Andhra Pradesh,Palnadu,urban_referral,15,405,3.933,1.166,1.16,0.16,India public literature pattern mapped by facility tier and dengue-prone state
284213,Andhra Pradesh,NTR,urban_referral,26,405,4.456,1.166,1.16,0.16,India public literature pattern mapped by facility tier and dengue-prone state
284212,Andhra Pradesh,Kakinada,urban_referral,18,405,4.104,1.166,1.16,0.16,India public literature pattern mapped by facility tier and dengue-prone state
283243,Andhra Pradesh,Guntur,urban_referral,17,405,6.758,1.166,1.16,0.16,India public literature pattern mapped by facility tier and dengue-prone state
283364,Andhra Pradesh,Vizianagaram,urban_referral,17,405,4.05,1.166,1.16,0.16,India public literature pattern mapped by facility tier and dengue-prone state
283485,Andhra Pradesh,Krishna,urban_referral,15,405,3.933,1.166,1.16,0.16,India public literature pattern mapped by facility tier and dengue-prone state
283484,Andhra Pradesh,NTR,urban_referral,26,405,4.456,1.166,1.16,0.16,India public literature pattern mapped by facility tier and dengue-prone state
284694,Andhra Pradesh,NTR,urban_referral,26,405,4.456,1.166,1.16,0.16,India public literature pattern mapped by facility tier and dengue-prone state
284573,Andhra Pradesh,West Godavari,urban_referral,17,405,4.05,1.166,1.16,0.16,India public literature pattern mapped by facility tier and dengue-prone state
283362,Andhra Pradesh,Y.S.R.,urban_referral,13,405,5.408,1.166,1.16,0.16,India public literature pattern mapped by facility tier and dengue-prone state
284692,Andhra Pradesh,NTR,urban_referral,26,405,4.456,1.166,1.16,0.16,India public literature pattern mapped by facility tier and dengue-prone state
284691,Andhra Pradesh,Tirupati,urban_referral,21,405,4.251,1.166,1.16,0.16,India public literature pattern mapped by facility tier and dengue-prone state
283481,Andhra Pradesh,Tirupati,urban_referral,21,405,4.251,1.166,1.16,0.16,India public literature pattern mapped by facility tier and dengue-prone state
284690,Andhra Pradesh,Prakasam,urban_referral,18,405,4.104,1.166,1.16,0.16,India public literature pattern mapped by facility tier and dengue-prone state
285322,Andhra Pradesh,Markapuram,peripheral_center,3,405,2.066,1.166,0.68,0.24,India public literature pattern mapped by facility tier and dengue-prone state
285323,Andhra Pradesh,Prakasam,urban_referral,18,405,4.104,1.166,1.16,0.16,India public literature pattern mapped by facility tier and dengue-prone state
285324,Andhra Pradesh,Kakinada,urban_referral,18,405,4.104,1.166,1.16,0.16,India public literature pattern mapped by facility tier and dengue-prone state
285327,Andhra Pradesh,Tirupati,urban_referral,21,405,4.251,1.166,1.16,0.16,India public literature pattern mapped by facility tier and dengue-prone state
285328,Andhra Pradesh,Sri Potti Sriramulu Nellore,urban_referral,21,405,5.637,1.166,1.16,0.16,India public literature pattern mapped by facility tier and dengue-prone state
284327,Andhra Pradesh,Srikakulam,urban_referral,19,405,4.156,1.166,1.16,0.16,India public literature pattern mapped by facility tier and dengue-prone state
284689,Andhra Pradesh,Sri Potti Sriramulu Nellore,urban_referral,21,405,4.251,1.166,1.16,0.16,India public literature pattern mapped by facility tier and dengue-prone state
284688,Andhra Pradesh,Sri Potti Sriramulu Nellore,urban_referral,21,405,4.251,1.166,1.16,0.16,India public literature pattern mapped by facility tier and dengue-prone state
284687,Andhra Pradesh,Sri Potti Sriramulu Nellore,urban_referral,21,405,4.251,1.166,1.16,0.16,India public literature pattern mapped by facility tier and dengue-prone state
284445,Andhra Pradesh,Srikakulam,urban_referral,19,405,5.947,1.166,1.16,0.16,India public literature pattern mapped by facility tier and dengue-prone state
284686,Andhra Pradesh,Sri Potti Sriramulu Nellore,urban_referral,21,405,4.251,1.166,1.16,0.16,India public literature pattern mapped by facility tier and dengue-prone state
284685,Andhra Pradesh,Sri Potti Sriramulu Nellore,urban_referral,21,405,4.251,1.166,1.16,0.16,India public literature pattern mapped by facility tier and dengue-prone state
284684,Andhra Pradesh,Sri Potti Sriramulu Nellore,urban_referral,21,405,4.251,1.166,1.16,0.16,India public literature pattern mapped by facility tier and dengue-prone state
283353,Andhra Pradesh,Annamayya,district_center,7,405,2.999,1.166,0.92,0.19,India public literature pattern mapped by facility tier and dengue-prone state
284683,Andhra Pradesh,Sri Potti Sriramulu Nellore,urban_referral,21,405,4.251,1.166,1.16,0.16,India public literature pattern mapped by facility tier and dengue-prone state
284440,Andhra Pradesh,West Godavari,urban_referral,17,405,4.05,1.166,1.16,0.16,India public literature pattern mapped by facility tier and dengue-prone state
284682,Andhra Pradesh,Sri Potti Sriramulu Nellore,urban_referral,21,405,4.251,1.166,1.16,0.16,India public literature pattern mapped by facility tier and dengue-prone state
284561,Andhra Pradesh,Guntur,urban_referral,17,405,4.05,1.166,1.16,0.16,India public literature pattern mapped by facility tier and dengue-prone state
284681,Andhra Pradesh,Sri Potti Sriramulu Nellore,urban_referral,21,405,4.251,1.166,1.16,0.16,India public literature pattern mapped by facility tier and dengue-prone state
284680,Andhra Pradesh,Kurnool,urban_referral,22,405,4.295,1.166,1.16,0.16,India public literature pattern mapped by facility tier and dengue-prone state
285331,Andhra Pradesh,Anakapalli,district_center,8,405,3.117,1.166,0.92,0.19,India public literature pattern mapped by facility tier and dengue-prone state
285332,Andhra Pradesh,Kakinada,urban_referral,18,405,4.104,1.166,1.16,0.16,India public literature pattern mapped by facility tier and dengue-prone state
285333,Andhra Pradesh,Krishna,urban_referral,15,405,3.933,1.166,1.16,0.16,India public literature pattern mapped by facility tier and dengue-prone state
285334,Andhra Pradesh,Krishna,urban_referral,15,405,3.933,1.166,1.16,0.16,India public literature pattern mapped by facility tier and dengue-prone state
285219,Andhra Pradesh,Prakasam,urban_referral,18,405,4.104,1.166,1.16,0.16,India public literature pattern mapped by facility tier and dengue-prone state
284559,Andhra Pradesh,Palnadu,urban_referral,15,405,3.933,1.166,1.16,0.16,India public literature pattern mapped by facility tier and dengue-prone state
284679,Andhra Pradesh,Nandyal,urban_referral,15,405,3.933,1.166,1.16,0.16,India public literature pattern mapped by facility tier and dengue-prone state
284558,Andhra Pradesh,Ananthapuramu,district_center,14,405,3.628,1.166,0.92,0.19,India public literature pattern mapped by facility tier and dengue-prone state
284678,Andhra Pradesh,Nandyal,urban_referral,15,405,3.933,1.166,1.16,0.16,India public literature pattern mapped by facility tier and dengue-prone state
284315,Andhra Pradesh,Kurnool,urban_referral,22,405,4.295,1.166,1.16,0.16,India public literature pattern mapped by facility tier and dengue-prone state
284557,Andhra Pradesh,Visakhapatnam,urban_referral,32,405,4.657,1.166,1.16,0.16,India public literature pattern mapped by facility tier and dengue-prone state
284677,Andhra Pradesh,Nandyal,urban_referral,15,405,3.933,1.166,1.16,0.16,India public literature pattern mapped by facility tier and dengue-prone state
284556,Andhra Pradesh,Sri Sathya Sai,urban_referral,8,405,4.967,1.166,1.16,0.16,India public literature pattern mapped by facility tier and dengue-prone state
283466,Andhra Pradesh,NTR,urban_referral,26,405,4.456,1.166,1.16,0.16,India public literature pattern mapped by facility tier and dengue-prone state
284676,Andhra Pradesh,Nandyal,urban_referral,15,405,3.933,1.166,1.16,0.16,India public literature pattern mapped by facility tier and dengue-prone state
284675,Andhra Pradesh,Kurnool,urban_referral,22,405,4.295,1.166,1.16,0.16,India public literature pattern mapped by facility tier and dengue-prone state
