bank_id,name,state,district,city,latitude,longitude,category
31003,Pillar Health Centre,Andaman and Nicobar Islands,South Andaman,Port Blair,11.653229,92.730714,Charitable
280695,G.B.Pant Hospital Atlanta Point Medical College,Andaman and Nicobar Islands,South Andaman,Port Blair,11.716205,92.715882,Government
284580,Bsu Chc Chodavaram,Andhra Pradesh,Anakapalli,Chodavaram,16.322369,80.434428,Government
285314,BSU CHC Veldurthy,Andhra Pradesh,Kurnool,Veldurthy,15.83654,77.997454,Government
285319,BSU CHC Repalle,Andhra Pradesh,Bapatla,Repalle,16.214526,80.438119,Government
284218,Vijayasri Blood Centre Ongole,Andhra Pradesh,Prakasam,Ongole,15.236639,78.461611,Charitable
284217,"Vijaya Blood Centre, Piduguralla",Andhra Pradesh,Palnadu,Piduguralla,16.276018,80.017789,Charitable
284337,Apadbandhu Voluntary Blood Center Palakol,Andhra Pradesh,West Godavari,Palakol,16.51582,81.501234,Private
284216,"Vijaya Blood Centre, Narasaraopet",Andhra Pradesh,Palnadu,Narasaraopet,16.235098,80.08244,Charitable
284336,American Cancer Care Blood Centre,Andhra Pradesh,NTR,Vijayawada,14.674291,77.622669,Private
284215,Aapadbandhu Blood Bank Vinukonda,Andhra Pradesh,Palnadu,Vinukonda,16.250406,80.019581,Charitable
284578,Bsu Chc Chinturu,Andhra Pradesh,Alluri Sitharama Raju,Chintoor,16.541534,80.631444,Government
284457,Mahatma Gandhi Blood Centre,Andhra Pradesh,Kurnool,Yemmiganur,15.804969,78.013927,Charitable
284699,Bsu Chc Dornala,Andhra Pradesh,Prakasam,Dornala,15.180245,78.404153,Government
284577,Bsu Ah Seethampeta,Andhra Pradesh,Parvathipuram Manyam,Seethampeta,16.279215,80.38622,Government
284214,Kurnool Blood Centre,Andhra Pradesh,Kurnool,Kurnool,15.79274,78.03899,Charitable
284698,Bsu Chc Chinnemergani,Andhra Pradesh,Parvathipuram Manyam,Chinnemergani,16.28675,80.422752,Government
284697,Bsu Chc Pedakurapadu,Andhra Pradesh,Palnadu,Pedakurapadu,16.235815,80.058597,Government
284213,Anu Blood Center,Andhra Pradesh,NTR,Vijayawada,14.639218,77.630881,Private
284212,"Akshaya Blood Centre, Kakinada",Andhra Pradesh,Kakinada,Kakinada,7.381264,38.795974,Charitable
283243,All India Institute Of Medical Sciences Blood Centre Mangalagiri,Andhra Pradesh,Guntur,Managalgiri,0.0,0.0,Government
283364,Vizianagaram Rotary Parvati Devi Anchalia Voluntary Blood Centre,Andhra Pradesh,Vizianagaram,Vizianagaram,18.143969,83.404889,Charitable
283485,Aruna Blood Bank,Andhra Pradesh,Krishna,Machilipatnam,0.0,0.0,Charitable
283484,Life Share Blood Centre Vijayawada,Andhra Pradesh,NTR,Vijaywada,14.683167,77.622566,Private
284694,Bsu Chc Visannapeta,Andhra Pradesh,NTR,Visannapeta,14.695969,77.641137,Government
284573,Bsu Ah Narasapuram,Andhra Pradesh,West Godavari,Narasapuram,16.509443,81.505074,Government
283362,Bruhada Blood Center,Andhra Pradesh,Y.S.R.,Kadapa,14.723524,78.060598,Private
284692,Bsu Andhra Hospital,Andhra Pradesh,NTR,Governerpeta,14.720329,77.59466,Private
284691,Bsu Sriharikota,Andhra Pradesh,Tirupati,Sriharikota,13.673409,79.369245,Government
283481,Vijayasri Blood Centre Tirupati,Andhra Pradesh,Tirupati,Tirupati,13.643249,79.397918,Charitable
284690,Bsu Chc Ulavapadu,Andhra Pradesh,Prakasam,Ulavapadu,15.188995,78.383376,Government
285322,"Blood Storage Unit,Community Health Centre Cumbum",Andhra Pradesh,Markapuram,Cumbum,16.500787,80.626244,Government
285323,Community Health Centre Kondepi,Andhra Pradesh,Prakasam,Kondepi,15.155177,78.426948,Government
285324,Venus Blood Centre,Andhra Pradesh,Kakinada,Tuni,7.344956,38.75516,Charitable
285327,Indian Red Cross society blood centre Tirupati,Andhra Pradesh,Tirupati,Tirupati,14.681888,77.600591,Charitable
285328,Vijayasri Blood Bank Nellore,Andhra Pradesh,Sri Potti Sriramulu Nellore,Nellore,14.647359,78.762738,Private
284327,Uddanam Blood Centre,Andhra Pradesh,Srikakulam,Sompeta,17.588087,83.058594,Private
284689,Bsu Chc Rapur,Andhra Pradesh,Sri Potti Sriramulu Nellore,Rapur,14.662735,78.794137,Government
284688,Bsu Chc Vinjamur,Andhra Pradesh,Sri Potti Sriramulu Nellore,Vinjamur,14.678151,78.744601,Government
284687,Bsu Chc Venkatachalam,Andhra Pradesh,Sri Potti Sriramulu Nellore,Venkatachalam,14.655472,78.807702,Government
284445,Vijayasri Blood Centre Srikakulam,Andhra Pradesh,Srikakulam,Srikakulam,17.602799,83.071046,Charitable
284686,Bsu Chc Podalakuru,Andhra Pradesh,Sri Potti Sriramulu Nellore,Podalakuru,14.694643,78.812335,Government
284685,Bsu Chc Kovur,Andhra Pradesh,Sri Potti Sriramulu Nellore,Kovur,14.68061,78.789923,Government
284684,Bsu Chc Kota.,Andhra Pradesh,Sri Potti Sriramulu Nellore,Kota,14.687338,78.82459,Government
283353,Government General Hospital Blood Centre Madanapalle,Andhra Pradesh,Annamayya,MADANAPALLE,16.513339,80.618989,Government
284683,Bsu Chc Indukurpet,Andhra Pradesh,Sri Potti Sriramulu Nellore,Indukurpet,14.704391,78.828753,Government
284440,Dharani Voluntary Blood Centre,Andhra Pradesh,West Godavari,Bhimavaram,16.541085,81.541215,Private
284682,Bsu Chc Buchireddypalem,Andhra Pradesh,Sri Potti Sriramulu Nellore,Buchireddypalem,14.710276,78.763939,Government
284561,Thalassemia Needs Blood Centre Guntur,Andhra Pradesh,Guntur,Guntur,16.238063,80.38875,Charitable
284681,Bsu Chc Allur,Andhra Pradesh,Sri Potti Sriramulu Nellore,Allur,14.732451,78.791083,Government
284680,Bsu Chc Owk,Andhra Pradesh,Kurnool,Owk,15.825134,78.054743,Government
