alert_id,bank_id,start_timestamp,end_timestamp,duration_min,max_temperature,agitation_off_minutes,severity
AL-000001,10131,2026-08-21T19:21:00,2026-08-21T19:48:00,28,22.5,28,High
AL-000002,10131,2026-08-22T05:26:00,2026-08-22T05:46:00,21,25.16,0,High
AL-000003,15004,2026-08-22T02:01:00,2026-08-22T02:25:00,25,22.36,25,High
AL-000004,15007,2026-08-21T13:27:00,2026-08-21T13:40:00,14,22.18,14,High
AL-000005,15007,2026-08-22T07:54:00,2026-08-22T08:03:00,10,24.6,0,Medium
AL-000006,15016,2026-08-21T20:06:00,2026-08-21T20:13:00,8,21.9,8,Medium
AL-000007,15016,2026-08-21T22:34:00,2026-08-21T23:17:00,44,25.16,0,High
AL-000008,15032,2026-08-21T19:24:00,2026-08-21T19:55:00,32,22.58,32,High
AL-000009,15032,2026-08-21T23:35:00,2026-08-21T23:44:00,10,24.8,0,Medium
AL-000010,15037,2026-08-22T00:44:00,2026-08-22T01:16:00,33,22.77,33,High
AL-000011,15076,2026-08-21T10:22:00,2026-08-21T10:55:00,34,25.19,0,High
AL-000012,15076,2026-08-22T18:37:00,2026-08-22T18:44:00,8,22.29,8,Medium
AL-000013,15112,2026-08-21T15:43:00,2026-08-21T15:54:00,12,22.35,12,High
AL-000014,15112,2026-08-21T22:51:00,2026-08-21T23:32:00,42,25.11,0,High
AL-000015,15136,2026-08-22T09:51:00,2026-08-22T09:51:00,1,24.03,0,Medium
AL-000016,15136,2026-08-22T11:36:00,2026-08-22T11:45:00,10,22.05,10,High
AL-000017,15146,2026-08-22T01:54:00,2026-08-22T02:09:00,16,22.12,16,High
AL-000018,15146,2026-08-22T14:32:00,2026-08-22T14:32:00,1,24.01,0,Medium
AL-000019,15146,2026-08-22T14:34:00,2026-08-22T14:45:00,12,24.92,0,Medium
AL-000020,15160,2026-08-22T05:11:00,2026-08-22T05:41:00,31,25.16,0,High
AL-000021,15160,2026-08-22T16:50:00,2026-08-22T17:06:00,17,22.15,17,High
AL-000022,15178,2026-08-21T18:56:00,2026-08-21T19:18:00,23,22.55,23,High
AL-000023,15178,2026-08-22T11:32:00,2026-08-22T12:03:00,32,25.32,0,High
AL-000024,16051,2026-08-21T21:35:00,2026-08-21T21:35:00,1,24.0,0,Medium
AL-000025,16051,2026-08-21T21:37:00,2026-08-21T21:47:00,11,24.81,0,Medium
