equipment_id,bank_id,equipment_type,manufacturer,model,timestamp,health_score,status
EQ-280695-PIA-01,280695,Platelet incubator with agitator,Remi,RPA-100,2026-08-21T00:00:00,88.7,OK
EQ-31003-PIA-01,31003,Platelet incubator with agitator,Labtop,LPI-12,2026-08-21T00:00:00,91.5,OK
EQ-281675-PIA-01,281675,Platelet incubator with agitator,Terumo BCT,Trima Storage Console,2026-08-21T00:00:00,87.4,OK
EQ-281681-PIA-01,281681,Platelet incubator with agitator,Thermo Fisher,Forma 3911,2026-08-21T00:00:00,85.1,OK
EQ-281691-PIA-01,281691,Platelet incubator with agitator,Helmer,PC2200i,2026-08-21T00:00:00,91.1,OK
EQ-284578-PIA-01,284578,Platelet incubator with agitator,Remi,RPA-100,2026-08-21T00:00:00,85.6,OK
EQ-285058-PIA-01,285058,Platelet incubator with agitator,Labtop,LPI-12,2026-08-21T00:00:00,89.8,OK
EQ-2811-PIA-01,2811,Platelet incubator with agitator,Terumo BCT,Trima Storage Console,2026-08-21T00:00:00,93.4,OK
EQ-281656-PIA-01,281656,Platelet incubator with agitator,Thermo Fisher,Forma 3911,2026-08-21T00:00:00,88.2,OK
EQ-281661-PIA-01,281661,Platelet incubator with agitator,Helmer,PC2200i,2026-08-21T00:00:00,91.4,OK
EQ-283773-PIA-01,283773,Platelet incubator with agitator,Remi,RPA-100,2026-08-21T00:00:00,88.7,OK
EQ-284580-PIA-01,284580,Platelet incubator with agitator,Labtop,LPI-12,2026-08-21T00:00:00,90.6,OK
EQ-284581-PIA-01,284581,Platelet incubator with agitator,Terumo BCT,Trima Storage Console,2026-08-21T00:00:00,90.1,OK
EQ-285223-PIA-01,285223,Platelet incubator with agitator,Thermo Fisher,Forma 3911,2026-08-21T00:00:00,88.4,OK
EQ-285331-PIA-01,285331,Platelet incubator with agitator,Helmer,PC2200i,2026-08-21T00:00:00,90.3,OK
EQ-280920-PIA-01,280920,Platelet incubator with agitator,Remi,RPA-100,2026-08-21T00:00:00,90.2,OK
EQ-281306-PIA-01,281306,Platelet incubator with agitator,Labtop,LPI-12,2026-08-21T00:00:00,85.3,OK
EQ-281308-PIA-01,281308,Platelet incubator with agitator,Terumo BCT,Trima Storage Console,2026-08-21T00:00:00,89.3,OK
EQ-281309-PIA-01,281309,Platelet incubator with agitator,Thermo Fisher,Forma 3911,2026-08-21T00:00:00,87.6,OK
EQ-281312-PIA-01,281312,Platelet incubator with agitator,Helmer,PC2200i,2026-08-21T00:00:00,87.1,OK
EQ-28149-PIA-01,28149,Platelet incubator with agitator,Remi,RPA-100,2026-08-21T00:00:00,88.7,OK
EQ-282620-PIA-01,282620,Platelet incubator with agitator,Labtop,LPI-12,2026-08-21T00:00:00,93.0,OK
EQ-282646-PIA-01,282646,Platelet incubator with agitator,Terumo BCT,Trima Storage Console,2026-08-21T00:00:00,88.1,OK
EQ-282824-PIA-01,282824,Platelet incubator with agitator,Thermo Fisher,Forma 3911,2026-08-21T00:00:00,87.7,OK
EQ-283503-PIA-01,283503,Platelet incubator with agitator,Helmer,PC2200i,2026-08-21T00:00:00,86.8,OK
EQ-283515-PIA-01,283515,Platelet incubator with agitator,Remi,RPA-100,2026-08-21T00:00:00,86.8,OK
EQ-2842-PIA-01,2842,Platelet incubator with agitator,Labtop,LPI-12,2026-08-21T00:00:00,86.9,OK
EQ-284558-PIA-01,284558,Platelet incubator with agitator,Terumo BCT,Trima Storage Console,2026-08-21T00:00:00,86.6,OK
EQ-284661-PIA-01,284661,Platelet incubator with agitator,Thermo Fisher,Forma 3911,2026-08-21T00:00:00,90.5,OK
EQ-280924-PIA-01,280924,Platelet incubator with agitator,Helmer,PC2200i,2026-08-21T00:00:00,89.0,OK
EQ-281771-PIA-01,281771,Platelet incubator with agitator,Remi,RPA-100,2026-08-21T00:00:00,90.0,OK
EQ-281772-PIA-01,281772,Platelet incubator with agitator,Labtop,LPI-12,2026-08-21T00:00:00,89.2,OK
EQ-283342-PIA-01,283342,Platelet incubator with agitator,Terumo BCT,Trima Storage Console,2026-08-21T00:00:00,91.5,OK
EQ-283353-PIA-01,283353,Platelet incubator with agitator,Thermo Fisher,Forma 3911,2026-08-21T00:00:00,91.6,OK
EQ-283814-PIA-01,283814,Platelet incubator with agitator,Helmer,PC2200i,2026-08-21T00:00:00,85.9,OK
