date,source_bank,destination_bank,recommended_units,distance_km,travel_time_min,priority,reason
2026-08-21,2923,2924,6,3.5,19,High,Balance surplus against predicted 72-hour stockout risk
2026-08-21,28078,98117,5,2.73,20,High,Balance surplus against predicted 72-hour stockout risk
2026-08-21,284471,24138,5,2.92,16,High,Balance surplus against predicted 72-hour stockout risk
2026-08-21,283763,36146,8,1.49,16,High,Balance surplus against predicted 72-hour stockout risk
2026-08-21,747,750,5,19.48,40,High,Balance surplus against predicted 72-hour stockout risk
2026-08-21,11055,285109,5,3.65,16,High,Balance surplus against predicted 72-hour stockout risk
2026-08-21,284817,284618,5,5.32,24,High,Balance surplus against predicted 72-hour stockout risk
2026-08-21,282631,284353,8,5.07,16,High,Balance surplus against predicted 72-hour stockout risk
2026-08-21,284291,19120,10,0.0,8,High,Balance surplus against predicted 72-hour stockout risk
2026-08-21,284203,283341,6,2.23,19,High,Balance surplus against predicted 72-hour stockout risk
2026-08-21,283522,280614,12,0.86,15,High,Balance surplus against predicted 72-hour stockout risk
2026-08-21,285227,282814,9,0.78,18,High,Balance surplus against predicted 72-hour stockout risk
2026-08-21,284237,28037,7,5.42,23,High,Balance surplus against predicted 72-hour stockout risk
2026-08-21,282766,284031,5,2.06,14,High,Balance surplus against predicted 72-hour stockout risk
2026-08-21,280549,280420,6,1.43,13,High,Balance surplus against predicted 72-hour stockout risk
2026-08-21,634,280306,6,0.91,12,High,Balance surplus against predicted 72-hour stockout risk
2026-08-21,285159,284564,6,6.41,25,High,Balance surplus against predicted 72-hour stockout risk
2026-08-21,285142,280785,5,1.14,15,High,Balance surplus against predicted 72-hour stockout risk
2026-08-21,28142,281474,5,0.0,8,High,Balance surplus against predicted 72-hour stockout risk
2026-08-21,19142,1416,5,2.98,16,High,Balance surplus against predicted 72-hour stockout risk
2026-08-21,280938,2906,9,1.47,13,High,Balance surplus against predicted 72-hour stockout risk
2026-08-21,284463,284281,7,8.09,21,High,Balance surplus against predicted 72-hour stockout risk
2026-08-21,24136,280457,7,2.74,13,High,Balance surplus against predicted 72-hour stockout risk
2026-08-21,284848,16021,5,0.79,14,High,Balance surplus against predicted 72-hour stockout risk
2026-08-21,10144,10120,5,1.43,17,High,Balance surplus against predicted 72-hour stockout risk
2026-08-21,2734,284456,7,0.0,9,High,Balance surplus against predicted 72-hour stockout risk
2026-08-21,283780,283460,9,51.73,77,High,Balance surplus against predicted 72-hour stockout risk
2026-08-21,30296,30013,13,60.42,113,High,Balance surplus against predicted 72-hour stockout risk
2026-08-21,284566,26024,10,4.08,18,High,Balance surplus against predicted 72-hour stockout risk
2026-08-21,16145,16050,7,16.52,42,High,Balance surplus against predicted 72-hour stockout risk
2026-08-21,284473,99174,7,1.69,12,High,Balance surplus against predicted 72-hour stockout risk
2026-08-21,15054,15045,5,0.88,19,High,Balance surplus against predicted 72-hour stockout risk
2026-08-21,285090,282798,7,1.32,18,High,Balance surplus against predicted 72-hour stockout risk
2026-08-21,284317,280294,6,0.77,17,High,Balance surplus against predicted 72-hour stockout risk
2026-08-21,280730,618,6,1.51,18,High,Balance surplus against predicted 72-hour stockout risk
2026-08-21,36109,29003,6,0.95,19,High,Balance surplus against predicted 72-hour stockout risk
2026-08-21,871,24125,7,9.45,33,High,Balance surplus against predicted 72-hour stockout risk
2026-08-21,283273,16158,9,35.72,54,High,Balance surplus against predicted 72-hour stockout risk
2026-08-21,94138,284883,6,8.36,29,High,Balance surplus against predicted 72-hour stockout risk
2026-08-21,15165,280972,7,0.84,19,High,Balance surplus against predicted 72-hour stockout risk
2026-08-21,283823,284506,5,5.37,24,High,Balance surplus against predicted 72-hour stockout risk
2026-08-21,282783,11013,9,0.42,12,High,Balance surplus against predicted 72-hour stockout risk
2026-08-21,14020,14048,6,5.1,22,High,Balance surplus against predicted 72-hour stockout risk
2026-08-21,16121,282789,5,3.23,17,High,Balance surplus against predicted 72-hour stockout risk
2026-08-21,2881,2894,6,0.0,12,High,Balance surplus against predicted 72-hour stockout risk
2026-08-21,18252,18223,13,0.45,16,High,Balance surplus against predicted 72-hour stockout risk
2026-08-21,2895,2889,11,0.59,13,High,Balance surplus against predicted 72-hour stockout risk
2026-08-21,283776,99108,5,2.11,12,High,Balance surplus against predicted 72-hour stockout risk
2026-08-21,18159,18154,9,43.82,88,High,Balance surplus against predicted 72-hour stockout risk
2026-08-21,283180,10125,5,1.73,15,High,Balance surplus against predicted 72-hour stockout risk
2026-08-21,284218,281524,5,2.69,21,High,Balance surplus against predicted 72-hour stockout risk
2026-08-21,21107,283942,5,2.12,20,High,Balance surplus against predicted 72-hour stockout risk
2026-08-22,29084,29124,6,0.0,15,High,Balance surplus against predicted 72-hour stockout risk
2026-08-22,281640,2924,5,2.42,16,High,Balance surplus against predicted 72-hour stockout risk
2026-08-22,96119,280706,8,0.8,12,High,Balance surplus against predicted 72-hour stockout risk
2026-08-22,284498,18267,5,4.94,22,High,Balance surplus against predicted 72-hour stockout risk
2026-08-22,284734,284697,6,1.39,18,High,Balance surplus against predicted 72-hour stockout risk
2026-08-22,284305,23120,5,79.36,142,High,Balance surplus against predicted 72-hour stockout risk
2026-08-22,27150,27126,6,2.99,22,High,Balance surplus against predicted 72-hour stockout risk
2026-08-22,97101,97128,6,2.52,13,High,Balance surplus against predicted 72-hour stockout risk
2026-08-22,1543,280541,8,4.49,23,High,Balance surplus against predicted 72-hour stockout risk
2026-08-22,283643,284869,10,0.25,14,High,Balance surplus against predicted 72-hour stockout risk
2026-08-22,18146,284361,9,3.92,15,High,Balance surplus against predicted 72-hour stockout risk
2026-08-22,891,802,5,4.16,19,High,Balance surplus against predicted 72-hour stockout risk
2026-08-22,284588,2927,6,1.95,17,High,Balance surplus against predicted 72-hour stockout risk
2026-08-22,283835,15046,6,3.95,15,High,Balance surplus against predicted 72-hour stockout risk
2026-08-22,30085,30054,6,0.0,17,High,Balance surplus against predicted 72-hour stockout risk
2026-08-22,284879,283601,8,1.86,13,High,Balance surplus against predicted 72-hour stockout risk
2026-08-22,284863,94137,6,19.31,34,High,Balance surplus against predicted 72-hour stockout risk
2026-08-22,284504,24101,8,0.0,12,High,Balance surplus against predicted 72-hour stockout risk
2026-08-22,282600,282746,6,1.51,15,High,Balance surplus against predicted 72-hour stockout risk
2026-08-22,27062,94116,6,0.0,12,High,Balance surplus against predicted 72-hour stockout risk
2026-08-22,285068,98116,7,8.42,28,High,Balance surplus against predicted 72-hour stockout risk
2026-08-22,874,284539,9,2.58,14,High,Balance surplus against predicted 72-hour stockout risk
2026-08-22,20125,14048,5,4.05,21,High,Balance surplus against predicted 72-hour stockout risk
2026-08-22,284976,99173,5,1.84,12,High,Balance surplus against predicted 72-hour stockout risk
2026-08-22,646,643,13,2.98,14,High,Balance surplus against predicted 72-hour stockout risk
2026-08-22,283547,282880,9,0.0,9,High,Balance surplus against predicted 72-hour stockout risk
2026-08-22,845,280455,6,1.56,13,High,Balance surplus against predicted 72-hour stockout risk
2026-08-22,640,657,5,3.63,23,High,Balance surplus against predicted 72-hour stockout risk
2026-08-22,283836,28058,7,0.0,9,High,Balance surplus against predicted 72-hour stockout risk
2026-08-22,281177,15011,8,2.14,15,High,Balance surplus against predicted 72-hour stockout risk
2026-08-22,280730,618,8,1.51,18,High,Balance surplus against predicted 72-hour stockout risk
2026-08-22,544,23176,5,0.84,13,High,Balance surplus against predicted 72-hour stockout risk
2026-08-22,285070,795,6,0.0,10,High,Balance surplus against predicted 72-hour stockout risk
2026-08-22,284197,283136,7,0.68,10,High,Balance surplus against predicted 72-hour stockout risk
2026-08-22,282568,18112,6,74.82,131,High,Balance surplus against predicted 72-hour stockout risk
2026-08-22,285332,284584,13,3.79,21,High,Balance surplus against predicted 72-hour stockout risk
2026-08-22,284948,283857,6,0.0,15,High,Balance surplus against predicted 72-hour stockout risk
2026-08-22,16078,16050,9,9.51,22,High,Balance surplus against predicted 72-hour stockout risk
