source_bank,destination_bank,distance_km,travel_time_min,vehicle_id,capacity,refrigerated
280695,31003,9.2,28,VH-280695-1,60,True
280695,32050,1517.12,2201,VH-280695-2,48,True
280695,32014,1517.12,2063,VH-280695-3,24,True
31003,280695,9.2,32,VH-31003-1,36,True
31003,32050,1525.73,2568,VH-31003-2,36,True
31003,32048,1525.73,2154,VH-31003-3,48,True
281675,284578,0.56,16,VH-281675-1,24,True
281675,281681,1.02,17,VH-281675-2,60,True
281675,284879,1.91,18,VH-281675-3,36,True
281681,281675,1.02,12,VH-281681-1,36,True
281681,284578,1.57,14,VH-281681-2,48,True
281681,284879,1.58,14,VH-281681-3,24,True
281691,283353,0.0,10,VH-281691-1,36,True
281691,2828,0.0,8,VH-281691-2,48,True
281691,2807,0.0,15,VH-281691-3,36,True
284578,281675,0.56,13,VH-284578-1,24,True
284578,281681,1.57,20,VH-284578-2,60,True
284578,284879,2.16,15,VH-284578-3,36,True
285058,284578,2.19,18,VH-285058-1,24,True
285058,281675,2.74,22,VH-285058-2,36,True
285058,284879,3.59,21,VH-285058-3,36,True
2811,2927,0.91,15,VH-2811-1,60,True
2811,285223,1.29,17,VH-2811-2,48,True
2811,28139,1.89,11,VH-2811-3,60,True
281656,281518,1.42,15,VH-281656-1,48,True
281656,28147,2.32,19,VH-281656-2,24,True
281656,284582,2.42,14,VH-281656-3,48,True
281661,284664,1.38,17,VH-281661-1,24,True
281661,281320,1.63,14,VH-281661-2,48,True
281661,28147,1.87,13,VH-281661-3,24,True
283773,280901,2.03,17,VH-283773-1,48,True
283773,284580,2.95,17,VH-283773-2,60,True
283773,285331,3.01,12,VH-283773-3,36,True
284580,28139,2.26,16,VH-284580-1,36,True
284580,283773,2.95,19,VH-284580-2,60,True
284580,285331,3.47,20,VH-284580-3,24,True
284581,284663,2.11,18,VH-284581-1,36,True
284581,285223,2.2,21,VH-284581-2,48,True
284581,284588,2.27,18,VH-284581-3,60,True
285223,2811,1.29,19,VH-285223-1,36,True
285223,2927,2.17,19,VH-285223-2,36,True
285223,284581,2.2,17,VH-285223-3,24,True
285331,285309,1.38,11,VH-285331-1,36,True
285331,28139,1.51,19,VH-285331-2,24,True
285331,2927,1.51,20,VH-285331-3,24,True
280920,283963,0.35,14,VH-280920-1,24,True
280920,284336,0.55,15,VH-280920-2,48,True
280920,283503,1.14,17,VH-280920-3,24,True
281306,281338,0.52,9,VH-281306-1,60,True
281306,283466,1.14,10,VH-281306-2,36,True
281306,281332,1.41,13,VH-281306-3,48,True
281308,284558,0.49,14,VH-281308-1,24,True
281308,281312,2.09,11,VH-281308-2,36,True
281308,284336,2.27,18,VH-281308-3,24,True
281309,284692,1.09,12,VH-281309-1,60,True
281309,285308,1.25,11,VH-281309-2,48,True
281309,285097,1.78,21,VH-281309-3,36,True
281312,281308,2.09,19,VH-281312-1,36,True
281312,284558,2.48,22,VH-281312-2,36,True
281312,284694,3.66,22,VH-281312-3,60,True
28149,2877,0.0,9,VH-28149-1,24,True
28149,2867,0.0,11,VH-28149-2,48,True
28149,285327,0.0,14,VH-28149-3,48,True
282620,280938,1.43,13,VH-282620-1,36,True
282620,2906,2.21,18,VH-282620-2,60,True
282620,28113,2.21,16,VH-282620-3,60,True
282646,281309,3.67,23,VH-282646-1,24,True
282646,282628,3.67,15,VH-282646-2,60,True
282646,283962,3.97,17,VH-282646-3,48,True
282824,283503,0.61,10,VH-282824-1,60,True
282824,283794,1.44,16,VH-282824-2,60,True
282824,280920,1.69,15,VH-282824-3,48,True
283503,282824,0.61,18,VH-283503-1,24,True
283503,280920,1.14,15,VH-283503-2,48,True
283503,283963,1.47,15,VH-283503-3,24,True
283515,283968,2.24,16,VH-283515-1,48,True
283515,28132,4.71,19,VH-283515-2,60,True
283515,283466,5.69,23,VH-283515-3,60,True
2842,2906,0.0,12,VH-2842-1,48,True
2842,28113,0.0,14,VH-2842-2,60,True
2842,2841,0.0,8,VH-2842-3,24,True
284558,281308,0.49,10,VH-284558-1,24,True
284558,284336,2.02,15,VH-284558-2,24,True
284558,283484,2.07,14,VH-284558-3,24,True
284661,28149,0.94,15,VH-284661-1,24,True
284661,2867,0.94,15,VH-284661-2,60,True
284661,2877,0.94,18,VH-284661-3,36,True
280924,284662,1.79,12,VH-280924-1,60,True
280924,281771,4.24,16,VH-280924-2,36,True
280924,283342,6.65,18,VH-280924-3,36,True
281771,283342,2.53,14,VH-281771-1,36,True
281771,284662,2.57,19,VH-281771-2,24,True
281771,280924,4.24,19,VH-281771-3,24,True
281772,280924,8.44,31,VH-281772-1,60,True
281772,284662,8.93,23,VH-281772-2,60,True
281772,281771,9.0,25,VH-281772-3,60,True
283342,281771,2.53,14,VH-283342-1,48,True
283342,284662,5.08,17,VH-283342-2,24,True
283342,280924,6.65,25,VH-283342-3,24,True
283353,281691,0.0,12,VH-283353-1,48,True
283353,2828,0.0,18,VH-283353-2,36,True
283353,2807,0.0,14,VH-283353-3,60,True
283814,28142,0.0,14,VH-283814-1,60,True
283814,281474,0.0,14,VH-283814-2,48,True
283814,2929,65.94,126,VH-283814-3,36,True
284662,280924,1.79,12,VH-284662-1,24,True
284662,281771,2.57,21,VH-284662-2,48,True
284662,283342,5.08,21,VH-284662-3,24,True
280932,281518,2.03,14,VH-280932-1,24,True
280932,281656,2.55,20,VH-280932-2,36,True
280932,2869,2.97,14,VH-280932-3,24,True
28116,281738,0.74,12,VH-28116-1,36,True
28116,285229,1.18,11,VH-28116-2,60,True
28116,283563,1.36,19,VH-28116-3,24,True
28147,284664,0.56,17,VH-28147-1,60,True
28147,284663,1.37,12,VH-28147-2,48,True
28147,284582,1.51,13,VH-28147-3,24,True
281518,281656,1.42,12,VH-281518-1,36,True
281518,280932,2.03,12,VH-281518-2,24,True
281518,281661,2.34,14,VH-281518-3,60,True
283867,284663,1.04,10,VH-283867-1,48,True
283867,281320,1.21,13,VH-283867-2,48,True
283867,285056,1.31,12,VH-283867-3,48,True
284582,28147,1.51,14,VH-284582-1,60,True
284582,284664,2.07,12,VH-284582-2,48,True
284582,284663,2.1,12,VH-284582-3,48,True
284663,283867,1.04,10,VH-284663-1,36,True
284663,28147,1.37,12,VH-284663-2,36,True
284663,284664,1.41,14,VH-284663-3,60,True
285056,281320,0.41,14,VH-285056-1,24,True
285056,283867,1.31,20,VH-285056-2,36,True
285056,281661,1.97,14,VH-285056-3,60,True
285221,285319,2.28,17,VH-285221-1,60,True
285221,281537,5.0,25,VH-285221-2,24,True
285221,280932,5.49,25,VH-285221-3,36,True
285229,281738,0.51,18,VH-285229-1,36,True
285229,28116,1.18,11,VH-285229-2,60,True
285229,283563,1.87,18,VH-285229-3,60,True
285309,284588,0.92,17,VH-285309-1,48,True
285309,2927,1.2,17,VH-285309-2,24,True
285309,285331,1.38,19,VH-285309-3,60,True
285319,285221,2.28,19,VH-285319-1,48,True
285319,280932,3.39,17,VH-285319-2,36,True
285319,281518,4.03,15,VH-285319-3,24,True
280921,281316,2.67,18,VH-280921-1,60,True
280921,2829,3.54,16,VH-280921-2,24,True
280921,284591,4.09,17,VH-280921-3,24,True
281313,284591,1.43,12,VH-281313-1,60,True
281313,281314,2.52,13,VH-281313-2,36,True
281313,2829,3.86,20,VH-281313-3,48,True
281314,281313,2.52,20,VH-281314-1,24,True
281314,284591,3.9,16,VH-281314-2,24,True
281314,2829,6.34,24,VH-281314-3,36,True
281315,2829,1.5,17,VH-281315-1,48,True
281315,284591,3.34,13,VH-281315-2,60,True
281315,281316,3.71,19,VH-281315-3,36,True
281316,280921,2.67,17,VH-281316-1,24,True
281316,2829,2.83,13,VH-281316-2,60,True
281316,281315,3.71,19,VH-281316-3,36,True
28142,283814,0.0,10,VH-28142-1,48,True
28142,281474,0.0,8,VH-28142-2,60,True
28142,2929,65.94,139,VH-28142-3,60,True
2829,281315,1.5,19,VH-2829-1,36,True
2829,284591,2.45,13,VH-2829-2,24,True
2829,281316,2.83,21,VH-2829-3,60,True
284591,281313,1.43,11,VH-284591-1,48,True
284591,2829,2.45,20,VH-284591-2,24,True
284591,281315,3.34,18,VH-284591-3,36,True
2901,2881,0.0,12,VH-2901-1,48,True
2901,2887,0.0,13,VH-2901-2,48,True
2901,2894,0.0,12,VH-2901-3,60,True
280902,284399,1.98,15,VH-280902-1,60,True
280902,283444,3.36,16,VH-280902-2,36,True
280902,2901,5.02,20,VH-280902-3,48,True
280926,2901,1.13,12,VH-280926-1,48,True
280926,2881,1.13,11,VH-280926-2,36,True
280926,2887,1.13,16,VH-280926-3,48,True
280929,284598,3.25,23,VH-280929-1,60,True
280929,284963,4.75,17,VH-280929-2,48,True
280929,283789,5.2,27,VH-280929-3,24,True
283444,283789,2.49,14,VH-283444-1,48,True
283444,284963,2.8,22,VH-283444-2,24,True
283444,280926,2.91,14,VH-283444-3,24,True
283789,284963,0.47,10,VH-283789-1,24,True
283789,283444,2.49,15,VH-283789-2,60,True
283789,280926,3.76,16,VH-283789-3,48,True
284399,280902,1.98,15,VH-284399-1,36,True
284399,283444,4.06,22,VH-284399-2,60,True
284399,283789,5.75,25,VH-284399-3,36,True
